title,genre,tags
The Incredibles,Animation,"superhero family animation action comedy"
Spider-Man: Into the Spider-Verse,Animation,"superhero multiverse animation action adventure spiderman"
Avengers: Endgame,Action,"superhero team time travel action science fiction marvel"
Avengers: Infinity War,Action,"superhero team villain action science fiction marvel"
Iron Man,Action,"superhero technology billionaire action science fiction marvel"
Black Panther,Action,"superhero africa kingdom action science fiction marvel"
Guardians of the Galaxy,Sci-Fi,"space team superhero comedy action science fiction marvel"
Doctor Strange,Fantasy,"magic superhero multiverse action fantasy marvel"
Wonder Woman,Action,"superhero mythology warrior action adventure dc"
Man of Steel,Action,"superhero alien krypton action superman dc"
The Avengers,Action,"superhero team alien invasion action science fiction marvel"
Deadpool,Action,"superhero comedy antihero action violence marvel"
Logan,Action,"superhero mutant road trip action drama marvel"
X-Men,Action,"mutant superhero team action science fiction marvel"
Terminator 2: Judgment Day,Action,"robot time travel action science fiction cyborg"
The Terminator,Action,"robot time travel action science fiction cyborg thriller"
Mad Max: Fury Road,Action,"post apocalyptic desert chase action survival dystopia"
John Wick,Action,"assassin revenge action gun fu thriller crime"
Die Hard,Action,"hostage building terrorist action thriller christmas"
Speed,Action,"bomb bus action thriller chase suspense"
Casino Royale,Action,"spy secret agent action thriller james bond espionage"
Skyfall,Action,"spy secret agent action thriller james bond espionage"
Mission: Impossible - Fallout,Action,"spy secret agent action thriller stunts espionage"
The Bourne Identity,Action,"spy amnesia action thriller espionage assassin"
Gone Girl,Thriller,"marriage mystery disappearance thriller psychological crime"
Shutter Island,Thriller,"asylum mystery psychological thriller detective twist"
Zodiac,Thriller,"serial killer investigation mystery thriller crime true story"
No Country for Old Men,Thriller,"crime chase western thriller violence pursuit"
There Will Be Blood,Drama,"oil greed ambition drama historical business"
The Social Network,Biography,"facebook technology startup biography drama legal"
Steve Jobs,Biography,"technology apple biography drama business innovator"
The Imitation Game,Biography,"codebreaker world war two biography drama mathematician"
A Beautiful Mind,Biography,"mathematician schizophrenia biography drama genius"
The Pursuit of Happyness,Drama,"poverty father son biography drama inspiration"
Good Will Hunting,Drama,"genius janitor mentor drama math psychology"
Dead Poets Society,Drama,"teacher poetry inspiration school drama coming of age"
The Truman Show,Drama,"reality tv simulation drama comedy satire"
Eternal Sunshine of the Spotless Mind,Romance,"memory love breakup science fiction romance drama"
Her,Romance,"artificial intelligence love loneliness romance science fiction drama"
500 Days of Summer,Romance,"relationship breakup romance comedy drama nonlinear"
The Notebook,Romance,"love romance memory drama tragedy classic"
Pride and Prejudice,Romance,"love class society romance drama period classic"
La Vie en Rose,Biography,"singer biography music drama tragedy france"
Bohemian Rhapsody,Biography,"rock band queen music biography drama concert"
Rocketman,Biography,"musician elton john biography music drama fantasy"
Whiplash 2,Drama,"music drummer competition drama ambition mentor"
Chicago,Musical,"jazz murder trial musical drama comedy crime"
The Sound of Music,Musical,"family nuns austria musical romance war drama"
Grease,Musical,"high school romance musical comedy 1950s teen"
The Greatest Showman,Musical,"circus ambition musical drama biography inspiration"
Coco Chanel,Biography,"fashion designer biography drama france ambition"
Moneyball,Biography,"baseball statistics sports biography drama business"
The Blind Side,Biography,"football family sports biography drama inspiration"
Rocky,Sports,"boxing underdog sports drama inspiration training"
Rocky II,Sports,"boxing rematch sports drama inspiration training"
Creed,Sports,"boxing legacy sports drama inspiration training"
Million Dollar Baby,Sports,"boxing mentor sports drama tragedy female"
The Karate Kid,Sports,"martial arts mentor sports drama coming of age"
Remember the Titans,Sports,"football racism team sports drama inspiration"
Cast Away,Adventure,"survival island isolation drama adventure plane crash"
Life of Pi,Adventure,"survival ocean tiger adventure drama fantasy"
Into the Wild,Adventure,"survival nature journey drama biography solitude"
127 Hours,Adventure,"survival canyon isolation drama biography true story"
The Revenant,Adventure,"survival wilderness revenge drama historical frontier"
Gravity,Sci-Fi,"space survival astronaut science fiction thriller isolation"
The Martian,Sci-Fi,"space survival astronaut science fiction comedy mars"
Arrival,Sci-Fi,"alien language communication science fiction drama mystery"
Ex Machina,Sci-Fi,"artificial intelligence robot science fiction thriller drama"
Minority Report,Sci-Fi,"future crime prediction science fiction action thriller"
Edge of Tomorrow,Sci-Fi,"time loop alien invasion science fiction action war"
District 9,Sci-Fi,"alien segregation science fiction action drama satire"
WALL-E,Animation,"robot earth environment animation science fiction family"
Ratatouille,Animation,"cooking rat paris animation family comedy"
"Monsters, Inc.",Animation,"monsters energy comedy animation family friendship"
The Hunger Games,Adventure,"dystopia survival games adventure young adult drama"
Divergent,Adventure,"dystopia factions young adult adventure action"
Harry Potter and the Sorcerer's Stone,Fantasy,"wizard school magic fantasy adventure friendship"
Harry Potter and the Chamber of Secrets,Fantasy,"wizard school magic fantasy adventure mystery"
Harry Potter and the Prisoner of Azkaban,Fantasy,"wizard school magic fantasy adventure time travel"
Fantastic Beasts and Where to Find Them,Fantasy,"wizard magic creatures fantasy adventure"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Fantasy,"fantasy children magic war adventure kingdom"
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure,"pirates treasure curse adventure comedy fantasy"
The Princess Bride,Fantasy,"fairy tale adventure romance comedy fantasy classic"
Big Fish,Fantasy,"storytelling father son fantasy drama whimsical"
Pan's Labyrinth,Fantasy,"fairy tale war fantasy drama dark spain"
Spirited Away,Animation,"spirits magic japan animation fantasy adventure"
My Neighbor Totoro,Animation,"spirits childhood japan animation family fantasy"
Princess Mononoke,Animation,"nature war japan animation fantasy adventure"
Howl's Moving Castle,Animation,"magic curse japan animation fantasy romance"
